Team,Player Name,Player Type,Credits,2020M,2020P,2021M,2021P,2022M,2022P,2023M,2023P,2024M,2024P,Total Matches,Total Points,Average
RCB,Rasikh Salam,BOWL,6.5,0,0,0,0,2,7,0,0,8,83,11,100,9.09
RCB,Yash Dayal,BOWL,7,0,0,0,0,9,79,5,19,14,125,30,254,8.47
RCB,Manoj Bhandage,ALL,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0
RCB,Nuwan Thushara,BOWL,7.5,0,0,0,0,0,0,0,0,7,64,7,64,9.14
RCB,Romario Shepherd,ALL,7,0,0,0,0,3,52,1,0,6,61,10,113,11.3
RCB,Tim David,BAT,7.5,0,0,1,1,8,216,16,231,13,241,40,711,17.78
RCB,Devdutt Padikkal,BAT,7,15,473,14,411,17,376,11,261,7,38,66,1596,24.18
RCB,Krunal Pandya,ALL,7.5,16,109,13,143,14,183,15,188,14,133,74,756,10.22
RCB,Rajat Patidar,BAT,8,0,0,4,71,8,333,0,0,15,395,29,884,30.48
RCB,Jitesh Sharma,WK,7.5,0,0,0,0,12,234,14,309,14,187,42,742,17.67
RCB,Lungi Ngidi,BOWL,7.5,4,9,3,5,0,0,0,0,0,0,7,14,2
RCB,Philip Salt,WK,8.5,0,0,0,0,0,0,9,2,12,4,23,7,0.3
RCB,Liam Livingstone,ALL,8,0,0,5,0,14,4,9,2,7,3,37,10,0.27
RCB,Josh Hazlewood,BOWL,8.5,3,1,9,11,12,21,3,3,0,0,29,41,1.41
RCB,Bhuvneshwar Kumar,BOWL,8,4,3,11,6,14,12,14,16,16,11,60,49,0.82
RCB,Swapnil Singh,ALL,7,0,0,0,0,0,0,2,0,7,6,9,6,0.67
RCB,Virat Kohli,BAT,9,15,466,15,405,16,341,14,639,15,741,77,2682,34.83
RR,Vaibhav Suryavanshi,BAT,5,0,0,0,0,0,0,0,0,0,0,0,0,0
RR,Ashok Sharma,BOWL,5,0,0,0,0,0,0,0,0,0,0,0,0,0
RR,Kwena Maphaka,BOWL,6,0,0,0,0,0,0,0,0,0,0,0,0,0
RR,Kunal Singh Rathore,WK,5,0,0,0,0,0,0,0,0,0,0,2,3,1.5
RR,Akash Madhwal,BOWL,7,0,0,0,0,0,0,8,65,5,26,13,91,7
RR,Shubham Dubey,BAT,5.5,0,0,0,0,0,0,0,0,4,16,6,40,6.67
RR,Yudhvir Singh Charak,ALL,6.5,0,0,0,0,0,0,3,9,2,6,5,15,3
RR,Maheesh Theekshana,BOWL,7.5,0,0,0,0,9,60,13,35,5,9,29,110,3.79
RR,Dhruv Jurel,WK,7.5,0,0,0,0,0,0,13,153,15,207,30,466,15.53
RR,Kumar Kartikeya,BOWL,6,0,0,0,0,4,53,8,69,0,0,12,122,10.17
RR,Yashasvi Jaiswal,BAT,9,3,43,10,282,10,298,14,713,16,507,55,1877,34.13
RR,FazalHaq Farooqi,BOWL,7,0,0,0,0,3,66,4,86,0,0,8,152,19
RR,Riyan Parag,ALL,8,12,187,11,138,17,279,7,88,16,623,65,1376,21.17
RR,Tushar Deshpande,BOWL,7.5,5,213,0,0,2,63,16,564,13,424,38,1315,34.61
RR,Jofra Archer,BOWL,8,14,478,0,0,0,0,5,194,0,0,21,798,38
RR,Wanindu Hasaranga,ALL,8.5,0,0,2,11,16,388,8,141,0,0,27,584,21.63
RR,Nitish Rana,ALL,7.5,14,536,17,527,14,509,14,610,2,84,63,2303,36.56
RR,Shimron Hetmyer,BAT,7.5,12,192,14,290,15,388,14,422,12,234,69,1624,23.54
RR,Sandeep Sharma,BOWL,7.5,13,312,7,141,5,120,12,276,11,228,50,1113,22.26
