Match Number,Date,Time,Team1,Team2,Venue,Latitude,Longitude,Pitch Type
61,2025-05-11,15:30,Punjab Kings,Mumbai Indians,"HPCA Stadium,Dharmasala",32.1976,76.3234,Seam-friendly
62,2025-05-11,19:30,Delhi Capitals,Gujarat Titans,"Arun Jaitley Stadium,Delhi",28.6358,77.241,"Slow, Spin-friendly"
63,2025-05-12,19:30,Chennai Super Kings,Rajasthan Royals,"M. A.Chidambaram Stadium (Chepauk),Chennai",13.0629,80.2792,Spin-friendly
64,2025-05-13,19:30,Royal Challengers Bengaluru,Sunrisers Hyderabad,"M. Chinnaswamy Stadium,Bengaluru",12.9788,77.5996,Batting-friendly
65,2025-05-14,19:30,Gujarat Titans,Lucknow Super Giants,"Narendra Modi Stadium,Ahmedabad",23.0918,72.5975,Balanced
66,2025-05-15,19:30,Mumbai Indians,Delhi Capitals,"Wankhede Stadium,Mumbai",18.9389,72.8258,Batting-friendly
67,2025-05-16,19:30,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium,Jaipur",26.8937,75.8036,Balanced
68,2025-05-17,19:30,Royal Challengers Bengaluru,Kolkata Knight Riders,"M.Chinnaswamy Stadium,Bengaluru",12.9788,77.5996,Batting-friendly
69,2025-05-18,15:30,Gujarat Titans,Chennai Super Kings,"Narendra Modi Stadium,Ahmedabad",23.0918,72.5975,Balanced
70,2025-05-18,19:30,Lucknow Super Giants,Sunrisers Hyderabad,"Ekana Cricket Stadium,Lucknow",26.8619,80.9873,Bowler-friendly
71,2025-05-20,19:30,,,"Rajiv Gandhi International Cricket Stadium,Hyderabad",17.4065,78.5504,Batting-friendly
72,2025-05-21,19:30,,,"Rajiv Gandhi International Cricket Stadium,Hyderabad",17.4065,78.5504,Batting-friendly
73,2025-05-23,19:30,,,"Eden Gardens, Kolkata",22.5646,88.3433,Batting-friendly
74,2025-05-25,19:30,,,"Eden Gardens, Kolkata",22.5646,88.3433,Batting-friendly
